nm	    Data
279.8	4.818
280.0	4.834
280.2	4.849
280.4	4.869
280.6	4.888
280.8	4.900
281.0	4.920
281.2	4.929
281.4	4.941
281.6	4.959
281.8	4.981
282.0	4.994
282.2	5.012
282.4	5.038
282.6	5.057
282.8	5.092
283.0	5.106
283.2	5.126
283.4	5.137
283.6	5.154
283.8	5.170
284.0	5.181
284.2	5.194
284.4	5.200
284.6	5.216
284.8	5.237
285.0	5.247
285.2	5.262
285.4	5.268
285.6	5.281
285.8	5.301
286.0	5.316
286.2	5.333
286.4	5.342
286.6	5.346
286.8	5.360
287.0	5.375
287.2	5.391
287.4	5.387
287.6	5.390
287.8	5.399
288.0	5.400
288.2	5.400
288.4	5.400
288.6	5.406
288.8	5.406
289.0	5.410
289.2	5.423
289.4	5.424
289.6	5.422
289.8	5.418
290.0	5.421
290.2	5.413
290.4	5.410
290.6	5.407
290.8	5.395
291.0	5.394
291.2	5.396
291.4	5.395
291.6	5.389
291.8	5.393
292.0	5.392
292.2	5.395
292.4	5.393
292.6	5.391
292.8	5.394
293.0	5.401
293.2	5.405
293.4	5.404
293.6	5.410
293.8	5.410
294.0	5.412
294.2	5.422
294.4	5.429
294.6	5.435
294.8	5.448
295.0	5.462
295.2	5.472
295.4	5.477
295.6	5.480
295.8	5.489
296.0	5.500
296.2	5.520
296.4	5.527
296.6	5.545
296.8	5.567
297.0	5.576
297.2	5.591
297.4	5.597
297.6	5.611
297.8	5.615
298.0	5.637
298.2	5.653
298.4	5.675
298.6	5.691
298.8	5.707
299.0	5.725
299.2	5.734
299.4	5.745
299.6	5.756
299.8	5.764
300.0	5.785
300.2	5.799
300.4	5.806
300.6	5.818
300.8	5.833
301.0	5.843
301.2	5.849
301.4	5.860
301.6	5.856
301.8	5.870
302.0	5.882
302.2	5.898
302.4	5.921
302.6	5.921
302.8	5.928
303.0	5.939
303.2	5.951
303.4	5.955
303.6	5.953
303.8	5.953
304.0	5.947
304.2	5.954
304.4	5.959
304.6	5.968
304.8	5.974
305.0	5.987
305.2	5.980
305.4	5.987
305.6	5.998
305.8	5.999
306.0	6.012
306.2	6.016
306.4	6.020
306.6	6.019
306.8	6.021
307.0	6.036
307.2	6.043
307.4	6.056
307.6	6.075
307.8	6.090
308.0	6.100
308.2	6.106
308.4	6.130
308.6	6.130
308.8	6.157
309.0	6.172
309.2	6.196
309.4	6.208
309.6	6.234
309.8	6.257
310.0	6.277
310.2	6.295
310.4	6.309
310.6	6.320
310.8	6.343
311.0	6.369
311.2	6.384
311.4	6.413
311.6	6.428
311.8	6.453
312.0	6.478
312.2	6.494
312.4	6.523
312.6	6.536
312.8	6.552
313.0	6.575
313.2	6.598
313.4	6.606
313.6	6.621
313.8	6.639
314.0	6.660
314.2	6.675
314.4	6.693
314.6	6.698
314.8	6.710
315.0	6.712
315.2	6.728
315.4	6.750
315.6	6.761
315.8	6.775
316.0	6.778
316.2	6.791
316.4	6.806
316.6	6.808
316.8	6.816
317.0	6.821
317.2	6.827
317.4	6.824
317.6	6.837
317.8	6.838
318.0	6.843
318.2	6.843
318.4	6.838
318.6	6.830
318.8	6.830
319.0	6.836
319.2	6.841
319.4	6.847
319.6	6.857
319.8	6.852
320.0	6.860
320.2	6.858
320.4	6.869
320.6	6.870
320.8	6.890
321.0	6.894
321.2	6.901
321.4	6.915
321.6	6.923
321.8	6.944
322.0	6.960
322.2	6.973
322.4	6.984
322.6	7.004
322.8	7.018
323.0	7.040
323.2	7.056
323.4	7.082
323.6	7.104
323.8	7.128
324.0	7.157
324.2	7.185
324.4	7.210
324.6	7.239
324.8	7.273
325.0	7.303
325.2	7.329
325.4	7.363
325.6	7.393
325.8	7.425
326.0	7.459
326.2	7.493
326.4	7.535
326.6	7.565
326.8	7.597
327.0	7.641
327.2	7.670
327.4	7.689
327.6	7.727
327.8	7.765
328.0	7.795
328.2	7.814
328.4	7.851
328.6	7.876
328.8	7.904
329.0	7.921
329.2	7.942
329.4	7.975
329.6	8.002
329.8	8.020
330.0	8.045
330.2	8.078
330.4	8.105
330.6	8.128
330.8	8.157
331.0	8.185
331.2	8.205
331.4	8.229
331.6	8.236
331.8	8.257
332.0	8.287
332.2	8.313
332.4	8.324
332.6	8.352
332.8	8.361
333.0	8.379
333.2	8.402
333.4	8.411
333.6	8.431
333.8	8.464
334.0	8.494
334.2	8.506
334.4	8.519
334.6	8.562
334.8	8.585
335.0	8.614
335.2	8.646
335.4	8.656
335.6	8.684
335.8	8.720
336.0	8.757
336.2	8.790
336.4	8.821
336.6	8.872
336.8	8.903
337.0	8.949
337.2	8.995
337.4	9.035
337.6	9.079
337.8	9.127
338.0	9.170
338.2	9.223
338.4	9.280
338.6	9.322
338.8	9.377
339.0	9.422
339.2	9.489
339.4	9.555
339.6	9.615
339.8	9.666
340.0	9.725
340.2	9.777
340.4	9.836
340.6	9.891
340.8	9.960
341.0	10.03
341.2	10.09
341.4	10.15
341.6	10.22
341.8	10.28
342.0	10.34
342.2	10.40
342.4	10.46
342.6	10.52
342.8	10.59
343.0	10.64
343.2	10.69
