Angle,PSD
26.5479,175
26.5621,170
26.5763,187
26.5904,154
26.6046,171
26.6188,174
26.633,190
26.6471,187
26.6613,199
26.6755,182
26.6897,209
26.7038,182
26.718,186
26.7322,164
26.7464,201
26.7605,192
26.7747,203
26.7889,178
26.8031,219
26.8172,183
26.8314,186
26.8456,212
26.8598,171
26.8739,179
26.8881,156
26.9023,193
26.9165,180
26.9306,189
26.9448,168
26.959,172
26.9732,173
26.9873,176
27.0015,164
27.0157,192
27.0299,179
27.044,182
27.0582,210
27.0724,191
27.0866,176
27.1007,181
27.1149,185
27.1291,175
27.1433,160
27.1574,190
27.1716,179
27.1858,166
27.2,198
27.2141,160
27.2283,213
27.2425,175
27.2567,201
27.2708,199
27.285,192
27.2992,200
27.3134,179
27.3275,194
27.3417,208
27.3559,187
27.3701,171
27.3842,161
27.3984,194
27.4126,213
27.4268,205
27.441,223
27.4551,207
27.4693,185
27.4835,193
27.4977,187
27.5118,199
27.526,215
27.5402,224
27.5544,201
27.5685,227
27.5827,191
27.5969,197
27.6111,230
27.6252,228
27.6394,204
27.6536,229
27.6678,235
27.6819,215
27.6961,199
27.7103,202
27.7245,222
27.7386,202
27.7528,242
27.767,248
27.7812,247
27.7953,220
27.8095,215
27.8237,239
27.8379,210
27.852,230
27.8662,241
27.8804,256
27.8946,206
27.9087,219
27.9229,231
27.9371,243
27.9513,225
27.9654,219
27.9796,271
27.9938,256
28.008,226
28.0221,275
28.0363,291
28.0505,263
28.0647,251
28.0788,267
28.093,281
28.1072,278
28.1214,266
28.1355,273
28.1497,272
28.1639,261
28.1781,290
28.1922,269
28.2064,275
28.2206,266
28.2348,276
28.2489,258
28.2631,254
28.2773,229
28.2915,231
28.3056,230
28.3198,246
28.334,277
28.3482,259
28.3623,229
28.3765,272
28.3907,258
28.4049,248
28.419,270
28.4332,240
28.4474,281
28.4616,253
28.4757,300
28.4899,242
28.5041,279
28.5183,251
28.5324,262
28.5466,272
28.5608,243
28.575,249
28.5891,283
28.6033,257
28.6175,273
28.6317,248
28.6458,305
28.66,289
28.6742,277
28.6884,299
28.7025,263
28.7167,256
28.7309,320
28.7451,325
28.7592,325
28.7734,316
28.7876,349
28.8018,376
28.8159,377
28.8301,363
